0;100;100;100;100;100;100;100;100;100;100
1300;100;100;100;100;100;100;100;100;100;100
1301;99;99;100;100;100;100;100;100;100;100
1307;97;98;100;100;100;100;100;100;100;100
1313;96;97;100;100;100;100;100;100;100;100
1319;94;96;99;99;100;100;100;100;100;100
1325;93;94;98;98;100;100;100;100;100;100
1331;92;93;97;97;100;100;100;100;100;100
1337;90;92;96;96;99;100;100;100;100;100
1343;89;91;95;95;98;100;100;100;100;100
1349;88;90;94;95;97;100;100;100;100;100
1355;86;89;92;94;97;100;100;100;100;100
1401;85;88;91;93;96;100;100;100;100;100
1407;83;87;90;92;95;99;100;100;100;100
1413;82;86;89;91;94;98;100;100;100;100
1419;81;84;88;90;93;97;100;100;100;100
1425;79;83;87;89;92;97;99;100;100;100
1431;78;82;86;88;91;96;98;100;100;100
1437;77;81;85;87;91;95;98;100;100;100
1443;75;80;84;86;90;94;97;99;100;100
1449;74;79;83;85;89;93;96;98;100;100
1455;72;78;82;85;88;92;95;98;100;100
1501;71;77;81;84;87;91;95;97;100;100
1507;70;76;79;83;86;90;94;96;100;100
1513;68;74;78;82;86;90;93;95;100;100
1519;67;73;77;81;85;89;92;95;99;100
1525;66;72;76;80;84;88;91;94;98;100
1531;64;71;75;79;83;87;91;93;97;100
1537;63;70;74;78;82;86;90;92;97;100
1543;61;69;73;77;81;85;89;91;96;99
1549;60;68;72;76;80;84;88;91;95;98
1555;59;67;71;75;80;83;87;90;94;97
1601;57;66;70;75;79;83;87;89;93;96
1607;56;64;69;74;78;82;86;88;92;95
1613;54;63;68;73;77;81;85;87;91;94
1619;53;62;66;72;76;80;84;87;90;93
1625;52;61;65;71;75;79;84;86;90;93
1631;50;60;64;70;74;78;83;85;89;92
1637;49;59;63;69;74;77;82;84;88;91
1643;48;58;62;68;73;77;81;84;87;90
1649;46;57;61;67;72;76;80;83;86;89
1655;45;56;60;66;71;75;80;82;85;88
1701;43;54;59;65;70;74;79;81;84;87
1707;42;53;58;65;69;73;78;80;83;86
1713;41;52;57;64;69;72;77;80;83;85
1719;39;51;56;63;68;71;76;79;82;84
1725;38;50;55;62;67;70;76;78;81;83
1731;37;49;54;61;66;70;75;77;80;82
1737;35;48;52;60;65;69;74;76;79;81
1743;34;47;51;59;64;68;73;76;78;80
1749;32;46;50;58;63;67;73;75;77;80
1755;31;44;49;57;63;66;72;74;77;79
1801;30;43;48;56;62;65;71;73;76;78
1807;28;42;47;55;61;64;70;73;75;77
1813;27;41;46;55;60;63;69;72;74;76
1819;26;40;45;54;59;63;69;71;73;75
1825;24;39;44;53;58;62;68;70;72;74
1831;23;38;43;52;57;61;67;69;71;73
1837;21;37;42;51;57;60;66;69;70;72
1843;20;36;41;50;56;59;65;68;70;71
1849;19;34;39;49;55;58;65;67;69;70
1855;17;33;38;48;54;57;64;66;68;69
1901;16;32;37;47;53;57;63;65;67;68
1907;14;31;36;46;52;56;62;65;66;67
1913;13;30;35;45;51;55;62;64;65;67
1919;12;29;34;45;51;54;61;63;64;66
1925;10;28;33;44;50;53;60;62;63;65
1931;9;27;32;43;49;52;59;62;63;64
1937;8;26;31;42;48;51;58;61;62;63
1943;6;24;30;41;47;50;58;60;61;62
1949;5;23;29;40;46;50;57;59;60;61
1955;3;22;28;39;46;49;56;58;59;60
2001;2;21;26;38;45;48;55;58;58;59
2007;1;20;25;37;44;47;55;57;57;58
2013;0;19;24;36;43;46;54;56;57;57
2019;0;18;23;35;42;45;53;55;56;56
2025;0;17;22;35;41;44;52;55;55;55
2031;0;16;21;34;40;43;51;54;54;54
2037;0;14;20;33;40;43;51;53;53;53
2043;0;13;19;32;39;42;50;52;52;53
2049;0;12;18;31;38;41;49;51;51;52
2055;0;11;17;30;37;40;48;51;50;51
2101;0;10;16;29;36;39;47;50;50;50
2107;0;9;15;28;35;38;47;49;49;49
2113;0;8;14;27;34;37;46;48;48;48
2119;0;7;12;26;34;37;45;47;47;47
2125;0;6;11;25;33;36;44;47;46;46
2131;0;4;10;25;32;35;44;46;45;45
2137;0;3;9;24;31;34;43;45;44;44
2143;0;2;8;23;30;33;42;44;43;43
2149;0;1;7;22;29;32;41;44;43;42
2155;0;0;6;21;29;31;40;43;42;41
2201;0;0;5;20;28;30;40;42;41;40
2207;0;0;4;19;27;30;39;41;40;40
2213;0;0;3;18;26;29;38;40;39;39
2219;0;0;2;17;25;28;37;40;38;38
2225;0;0;1;16;24;27;36;39;37;37
2231;0;0;0;15;23;26;36;38;37;36
2237;0;0;0;15;23;25;35;37;36;35
2243;0;0;0;14;22;24;34;36;35;34
2249;0;0;0;13;21;23;33;36;34;33
2255;0;0;0;12;20;23;33;35;33;32
2301;0;0;0;11;19;22;32;34;32;31
2307;0;0;0;10;18;21;31;33;31;30
2313;0;0;0;9;17;20;30;33;30;29
2319;0;0;0;8;17;19;29;32;30;28
2325;0;0;0;7;16;18;29;31;29;27
2331;0;0;0;6;15;17;28;30;28;27
2337;0;0;0;5;14;17;27;29;27;26
2343;0;0;0;5;13;16;26;29;26;25
2349;0;0;0;4;12;15;25;28;25;24
2355;0;0;0;3;11;14;25;27;24;23
2401;0;0;0;2;11;13;24;26;23;22
2407;0;0;0;1;10;12;23;25;23;21
2413;0;0;0;0;9;11;22;25;22;20
2419;0;0;0;0;8;10;22;24;21;19
2425;0;0;0;0;7;10;21;23;20;18
2431;0;0;0;0;6;9;20;22;19;17
2437;0;0;0;0;6;8;19;22;18;16
2443;0;0;0;0;5;7;18;21;17;15
2449;0;0;0;0;4;6;18;20;17;14
2455;0;0;0;0;3;5;17;19;16;13
